d,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft DirectX SDK (March 2009)
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MeshFromOBJ10\MeshLoader10.h,GGAMAAAACAAAAAAAHKPBFBHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MeshFromOBJ10\resource.h,MIABAAAACAAAAAAANHFDFEHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MeshFromOBJ10\internal.rc,GAABAAAACAAAAAAACAOBAAHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MeshFromOBJ10\media\cup.jpg,HGDHAAAACAAAAAAAKKMLCLHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MeshFromOBJ10\media\cup.mtl,GFABAAAACAAAAAAAKKMLCLHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MeshFromOBJ10\media\cup.obj,IIHOACAACAAAAAAAKKMLCLHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Motionblur10\MotionBlur10.cpp,FDJHAAAACAAAAAAALPGGGHHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Motionblur10\MotionBlur10.fx,AHFAAAAACAAAAAAABMMJGJHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Motionblur10\MotionBlur10.jpg,ECJJAAAACAAAAAAABMMJGJHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Motionblur10\MotionBlur10.manifest,PBADAAAACAAAAAAABMMJGJHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Motionblur10\MotionBlur10.rc,KJAHAAAACAAAAAAAHJCLGMHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Motionblur10\MotionBlur10_2005.sln,FEAGAAAACAAAAAAALMBELGHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Motionblur10\MotionBlur10_2005.vcproj,JHDNAAAACAAAAAAALMBELGHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Motionblur10\MotionBlur10_2008.sln,FFAGAAAACAAAAAAALMBELGHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Motionblur10\MotionBlur10_2008.vcproj,BLDOAAAACAAAAAAABJHHLIHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Motionblur10\resource.h,MHABAAAACAAAAAAANDDLLNHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiMon10\MultiMon10.cpp,DHIKAAAACAAAAAAADAJOLPHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiMon10\MultiMon10.fx,FIALAAAACAAAAAAAINAAMCHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiMon10\MultiMon10.jpg,DLIMAAAACAAAAAAAINAAMCHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiMon10\MultiMon10.manifest,PEADAAAACAAAAAAAINAAMCHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiMon10\MultiMon10.rc,KHAHAAAACAAAAAAAINAAMCHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiMon10\MultiMon10_2005.sln,FAAGAAAACAAAAAAAINAAMCHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiMon10\MultiMon10_2005.vcproj,FFDLAAAACAAAAAAAABIKMLHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiMon10\MultiMon10_2008.sln,FBAGAAAACAAAAAAAABIKMLHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiMon10\MultiMon10_2008.vcproj,NHDLAAAACAAAAAAAFOOMMNHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiMon10\resource.h,MFABAAAACAAAAAAAFOOMMNHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\MeshData.cpp,ADMMAAAACAAAAAAAHFBDNFHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\MultiStreamRendering.fx,DDBKAAAACAAAAAAANCHFNHHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\MultiStreamRendering.jpg,OCIAAAAACAAAAAAANCHFNHHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\MultiStreamRendering.manifest,PEADAAAACAAAAAAACPNINJHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\MultiStreamRendering.rc,LBAHAAAACAAAAAAACOBCPEHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\MultiStreamRendering10.cpp,AAHKAAAACAAAAAAACOBCPEHMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\MultiStreamRendering9.cpp,IMFHAAAACAAAAAAABGCFAHHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\MultiStreamRendering_2005.sln,GEAGAAAACAAAAAAABGCFAHHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\MultiStreamRendering_2005.vcproj,BDDOAAAACAAAAAAAHDIHAJHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\MultiStreamRendering_2008.sln,GFAGAAAACAAAAAAAHDIHAJHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\MultiStreamRendering_2008.vcproj,JFDOAAAACAAAAAAANAOJALHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\MultiStreamRendering\resource.h,MPABAAAACAAAAAAANAOJALHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\NBodyGravity\NBodyGravity.cpp,LDJMAAAACAAAAAAACNEMAOHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\NBodyGravity\NBodyGravity.fx,KOCIAAAACAAAAAAAIKKOBAHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\NBodyGravity\NBodyGravity.jpg,NLOBAAAACAAAAAAAIKKOBAHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\NBodyGravity\NBodyGravity.manifest,PBADAAAACAAAAAAAIKKOBAHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\NBodyGravity\NBodyGravity.rc,KJAHAAAACAAAAAAAIKKOBAHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\NBodyGravity\NBodyGravity_2005.sln,FEAGAAAACAAAAAAAIKKOBAHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\NBodyGravity\NBodyGravity_2005.vcproj,KBDMAAAACAAAAAAAIKKOBAHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\NBodyGravity\NBodyGravity_2008.sln,FFAGAAAACAAAAAAAIKKOBAHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\NBodyGravity\NBodyGravity_2008.vcproj,CFDNAAAACAAAAAAAIKKOBAHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\NBodyGravity\resource.h,MGABAAAACAAAAAAAIKKOBAHNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ParticlesGS\particlesgs.cpp,ODGKAAAACAAAAAAAJINPADHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ParticlesGS\particlesgs.fx,OFCGAAAACAAAAAAAJINPADHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ParticlesGS\particlesgs.jpg,GEKHAAAACAAAAAAAPFEBAGHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ParticlesGS\particlesgs.manifest,PBADAAAACAAAAAAAPFEBAGHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ParticlesGS\particlesgs.rc,KIAHAAAACAAAAAAAPFEBAGHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ParticlesGS\ParticlesGS_2005.sln,FCAGAAAACAAAAAAAGIAFCKHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ParticlesGS\ParticlesGS_2005.vcproj,OMDMAAAACAAAAAAAGIAFCKHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ParticlesGS\ParticlesGS_2008.sln,FDAGAAAACAAAAAAAGIAFCKHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ParticlesGS\ParticlesGS_2008.vcproj,HADNAAAACAAAAAAAMFGHCMHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ParticlesGS\resource.h,MGABAAAACAAAAAAAMFGHCMHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Pick10\Pick10.cpp,EDJLAAAACAAAAAAAMFGHCMHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Pick10\Pick10.fx,MPBEAAAACAAAAAAACCMKCOHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Pick10\Pick10.jpg,DKAGAAAACAAAAAAACCMKCOHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Pick10\Pick10.manifest,OOADAAAACAAAAAAACCMKCOHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Pick10\Pick10.rc,KDAHAAAACAAAAAAACCMKCOHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Pick10\Pick10_2005.sln,GOAFAAAACAAAAAAACCMKCOHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Pick10\Pick10_2005.vcproj,NIFPAAAACAAAAAAAJFINFCHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Pick10\Pick10_2008.sln,GNAFAAAACAAAAAAAJFINFCHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Pick10\Pick10_2008.vcproj,FKGAAAAACAAAAAAAJFINFCHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Pick10\resource.h,LPABAAAACAAAAAAAJFINFCHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\PipesGS\PipesGS.cpp,ANKIAAAACAAAAAAAPCOPFEHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\PipesGS\PipesGS.fx,IGEKAAAACAAAAAAAPCOPFEHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\PipesGS\pipesgs.jpg,BDNCAAAACAAAAAAAPCOPFEHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\PipesGS\PipesGS.manifest,PBADAAAACAAAAAAAPCOPFEHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\PipesGS\PipesGS.rc,KEAHAAAACAAAAAAAPCOPFEHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\PipesGS\PipesGS_2005.sln,EKAGAAAACAAAAAAAKKCIIOHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\PipesGS\PipesGS_2005.vcproj,BGDNAAAACAAAAAAAKKCIIOHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\PipesGS\PipesGS_2008.sln,ELAGAAAACAAAAAAAKKCIIOHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\PipesGS\PipesGS_2008.vcproj,JIDNAAAACAAAAAAAKKCIIOHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\PipesGS\resource.h,MCABAAAACAAAAAAAGEONJCHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\Noise.fx,AIEKAAAACAAAAAAAKJGCKIHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\ProceduralHelpers.fx,BLCLAAAACAAAAAAAKJGCKIHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\ProceduralMaterials.cpp,LGLHAAAACAAAAAAAKJGCKIHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\ProceduralMaterials.fx,KDNEAAAACAAAAAAAKJGCKIHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\ProceduralMaterials.jpg,EJADABAACAAAAAAAAGMFKKHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\ProceduralMaterials.manifest,PBADAAAACAAAAAAAAGMFKKHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\ProceduralMaterials.rc,PGAKAAAACAAAAAAAAGMFKKHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\ProceduralMaterials_2005.sln,GCAGAAAACAAAAAAAAGMFKKHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\ProceduralMaterials_2005.vcproj,OADMAAAACAAAAAAAAGMFKKHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\ProceduralMaterials_2008.sln,GDAGAAAACAAAAAAAAGMFKKHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\ProceduralMaterials_2008.vcproj,FMDNAAAACAAAAAAAAGMFKKHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\resource.h,FHACAAAACAAAAAAAGDCHKNHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ProceduralMaterials\WaitDlg.h,JLAPAAAACAAAAAAAGCGBMHHODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\RaycastTerrain.cpp,NKPEAAAACAAAAAAAPCEMLHIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\RaycastTerrain.fx,OHHAAAAACAAAAAAAPCEMLHIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\RaycastTerrain.jpg,EENMAAAACAAAAAAAEPKPLJIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\RaycastTerrain.manifest,PBADAAAACAAAAAAAEPKPLJIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\RaycastTerrain.rc,KJAHAAAACAAAAAAAEPKPLJIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\RaycastTerrain_2005.sln,FIAGAAAACAAAAAAAEPKPLJIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\RaycastTerrain_2005.vcproj,ACDPAAAACAAAAAAAEPKPLJIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\RaycastTerrain_2008.sln,FJAGAAAACAAAAAAAEPKPLJIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\RaycastTerrain_2008.vcproj,EEEDAAAACAAAAAAAEPKPLJIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\resource.h,MGABAAAACAAAAAAAKMBBLMIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\Terrain.cpp,MGFOAAAACAAAAAAAAJHELOIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\RaycastTerrain\Terrain.h,DMBAAAAACAAAAAAAAJHELOIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\d3d9Mesh.cpp,HIFFAAAACAAAAAAAGGNGMAIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\d3d9Mesh.h,CFAMAAAACAAAAAAAGGNGMAIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\GenShadowMesh.cpp,EMHJAAAACAAAAAAAMCHCNNIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\GenShadowMesh.h,LIADAAAACAAAAAAAMCHCNNIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\resource.h,MHABAAAACAAAAAAABPNFNPIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\ShadowVolume.fx,HGCNAAAACAAAAAAABPNFNPIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\ShadowVolume.jpg,GDAKAAAACAAAAAAABPNFNPIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\ShadowVolume.manifest,PBADAAAACAAAAAAABPNFNPIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\ShadowVolume.rc,KJAHAAAACAAAAAAABPNFNPIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\ShadowVolume10.cpp,PBMBAAAACAAAAAAABPNFNPIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\ShadowVolume10.fx,JIEAAAAACAAAAAAABPNFNPIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\ShadowVolume9.cpp,COGPAAAACAAAAAAABPNFNPIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\ShadowVolume_2005.sln,FGAGAAAACAAAAAAAHMDHOCIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\ShadowVolume_2005.vcproj,DNEDAAAACAAAAAAAHMDHOCIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\ShadowVolume_2008.sln,FHAGAAAACAAAAAAAHMDHOCIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\ShadowVolume10\ShadowVolume_2008.vcproj,LPEDAAAACAAAAAAAHMDHOCIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\resource.h,MHABAAAACAAAAAAAHMDHOCIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\SimpleSample.fx,HIBAAAAACAAAAAAANJJJOEIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\SimpleSample.jpg,LIALAAAACAAAAAAANJJJOEIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\SimpleSample.manifest,PEADAAAACAAAAAAANJJJOEIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\SimpleSample.rc,PFAGAAAACAAAAAAANJJJOEIADHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\SimpleSample10.cpp,NOEOAAAACAAAAAAAKJLPAKIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\SimpleSample10.fx,FHAPAAAACAAAAAAAAGCCANIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\SimpleSample9.cpp,AJCKAAAACAAAAAAAAGCCANIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\SimpleSample_2005.sln,FGAGAAAACAAAAAAAAGCCANIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\SimpleSample_2005.vcproj,BOECAAAACAAAAAAABFEDINEKPHIFMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\SimpleSample_2008.sln,FHAGAAAACAAAAAAAAGCCANIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SimpleSample10\SimpleSample_2008.vcproj,CHDPAAAACAAAAAAAKHPDJNEKPHIFMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Skinning10\resource.h,MFABAAAACAAAAAAABNEJBEIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Skinning10\Skinning10.cpp,PAJIAAAACAAAAAAABNEJBEIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Skinning10\Skinning10.fx,EMEDAAAACAAAAAAAJBNCBNIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Skinning10\Skinning10.jpg,KJLIAAAACAAAAAAAJBNCBNIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Skinning10\Skinning10.manifest,PEADAAAACAAAAAAAJBNCBNIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Skinning10\Skinning10.rc,KHAHAAAACAAAAAAAJBNCBNIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Skinning10\Skinning10_2005.sln,FAAGAAAACAAAAAAAOODECAIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Skinning10\Skinning10_2005.vcproj,HMEAAAAACAAAAAAABMIDCOIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Skinning10\Skinning10_2008.sln,FBAGAAAACAAAAAAABMIDCOIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\Skinning10\Skinning10_2008.vcproj,POEAAAAACAAAAAAABMIDCOIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SoftParticles\resource.h,MIABAAAACAAAAAAABMIDCOIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SoftParticles\SoftParticles.cpp,BHLJAAAACAAAAAAABMIDCOIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SoftParticles\SoftParticles.fx,OFFKAAAACAAAAAAAOMKIFEIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SoftParticles\SoftParticles.jpg,PHBFAAAACAAAAAAAOMKIFEIBDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D10\SoftParticles\SoftParticles.manifest,PBADAAAACAAAAAAAOMKIFEIBDHIDMJABAAAAAAAAAAAAAAAA
